sample_id,ok,execute_ms_avg,execute_ms_min,execute_ms_max,rmse_db,mae_db,pred_dbm_mean,label_dbm_mean,output_npy
166_k0,True,84.30630998918787,84.30630998918787,84.30630998918787,4.239192235404738,2.591580629348755,-119.2442398071289,-118.10601806640625,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/166_k0_dsp_qnn.npy
166_k1,True,79.0721100056544,79.0721100056544,79.0721100056544,4.319946935822281,3.07753849029541,-121.61795043945312,-121.35371398925781,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/166_k1_dsp_qnn.npy
373_k0,True,89.55644801608287,89.55644801608287,89.55644801608287,5.328448780771169,3.8195066452026367,-124.51534271240234,-122.81071472167969,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/373_k0_dsp_qnn.npy
373_k1,True,79.92571202339604,79.92571202339604,79.92571202339604,5.330545272848153,3.8325695991516113,-124.46981811523438,-123.5843505859375,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/373_k1_dsp_qnn.npy
464_k0,True,84.99779700650834,84.99779700650834,84.99779700650834,5.875096097119657,3.9476912021636963,-122.46617126464844,-123.16844940185547,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/464_k0_dsp_qnn.npy
464_k1,True,81.33840697701089,81.33840697701089,81.33840697701089,5.216543496397273,3.367894411087036,-122.81480407714844,-123.77894592285156,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/464_k1_dsp_qnn.npy
666_k0,True,79.66563000809401,79.66563000809401,79.66563000809401,3.909411318432668,2.3056721687316895,-117.15365600585938,-115.58624267578125,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/666_k0_dsp_qnn.npy
666_k1,True,81.23411500127986,81.23411500127986,81.23411500127986,3.9004985735171442,2.1162610054016113,-117.4977035522461,-116.20372009277344,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/666_k1_dsp_qnn.npy
660_k0,True,83.52770397323184,83.52770397323184,83.52770397323184,3.9973041271248055,2.2754149436950684,-126.92863464355469,-126.13052368164062,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/660_k0_dsp_qnn.npy
660_k1,True,80.22155499202199,80.22155499202199,80.22155499202199,3.5927427787748005,1.9775190353393555,-128.83035278320312,-128.0598602294922,/home/fibo/fibocom_slz/modules/radio_map_qcs6490_deploy/outputs/qnn_pad_constant_int8_real10_20260703_143201/samples/660_k1_dsp_qnn.npy
